"jobtitle","link","summary","description"
"Administrative Assistant","https://www.roberthalf.com/job/cincinnati-oh/administrative-assistant/03320-0010932284","Mail merging, pivot tables, and presentation design are key parts of this position, so if that's your thing, this could be the Administrative Assistant job for you! If you're looking for work where you will perform various administrative...","Mail merging, pivot tables, and presentation design are key parts of this position, so if that's your thing, this could be the Administrative Assistant job for you! If you're looking for work where you will perform various administrative and office support duties, you might be the results-oriented Administrative Assistant OfficeTeam is looking for! Candidates who are passionate about growing their careers might find this Administrative Assistant job is just what they're looking for. If you're looking for a short-term temporary position, consider this Administrative Assistant opening in the Cincinnati, Ohio area.

What you get to do every day

- Tend to word processing, filing, and faxing duties

- Answer telephone calls

- Support diverse projects for other employees

- Greet and guide visitors 
 - Excellent communication and organizational skills

- Microsoft Outlook experience desired

- Foundational knowledge in Microsoft Word

- Switchboard phone (10 -30 lines) experience preferred

- Deep understanding of Microsoft Excel

- Ability to use the internet for research

- At least 1 year of Administrative Assistant experience preferred

 - Candidate must have substantial computer experience including word processing, spreadsheets and presentation software, as well as databases and customer database systems



We are a creative, dynamic company seeking an ambitious individual to come join our growing company. If you are a passionate self-starter that thrives in an innovative environment, we would love to hear from you! Contact us now - as this position will be filled by the end of the week!

. 
 OfficeTeam is the world's leader in professional staffing for office support jobs, focusing exclusively on the temporary and temporary-to-full-time placement of professionals in the administrative field. We are faster at finding you work because of the depth of our client network. Specifically, our professional staffing managers connect with thousands of hiring managers in North America every week to find your office support job opportunities. We evaluate all of our OfficeTeam temporaries' skills and match them with the needs of top employers in their area.

Apply for this job now or contact us today at 888.490.4154 for additional information.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 OfficeTeam. A Robert Half Company. An Equal Opportunity Employer M/F/Disability/Veterans.

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
"Receptionist","https://www.roberthalf.com/job/charleston-sc/receptionist/03270-0010940534","OfficeTeam currently has a short-term temporary opening for an articulate, highly-skilled Receptionist in a growing Defense Service company. This established and recognized company offers a hands-on work environment with fulfilling...","OfficeTeam currently has a short-term temporary opening for an articulate, highly-skilled Receptionist in a growing Defense Service company. This established and recognized company offers a hands-on work environment with fulfilling challenges and is based in the Charleston, South Carolina region. 

Your responsibilities

- Perpetuate a number of different office filing processes and offer general office filing support

- Be an asset to other administrative staff with support overflow work, including word processing, data entry and Internet research tasks

- Create a welcoming environment for visitors

- Employ strong prioritization skills and a sense of urgency

- Answering all incoming phone calls

- Structure, filter, and hand out incoming mail according to specified procedures 
 - Ability to communicate verbally and in writing effectively throughout all levels of the company

- Excellent customer service and office administrative skills

- Strong attention to detail

- Microsoft Office experience

- Strong organization skills



This career opportunity is available only through OfficeTeam. This is an excellent opportunity for a growth-oriented and driven Receptionist. If you're serious about succeeding in your field, contact us today!

. 
 OfficeTeam is the world's leader in professional staffing for office support jobs, focusing exclusively on the temporary and temporary-to-full-time placement of professionals in the administrative field. We are faster at finding you work because of the depth of our client network. Specifically, our professional staffing managers connect with thousands of hiring managers in North America every week to find your office support job opportunities. We evaluate all of our OfficeTeam temporaries' skills and match them with the needs of top employers in their area.

Apply for this job now or contact us today at 888.490.4154 for additional information.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 OfficeTeam. A Robert Half Company. An Equal Opportunity Employer M/F/Disability/Veterans.

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
"Accounts Receivable Clerk","https://www.roberthalf.com/job/fresno-ca/accounts-receivable-clerk/00310-0010941287","If you're a self-starting and detail-oriented Accounts Receivable (A/R) Clerk, we might have a job for you! This is a short-term temporary-to-full-time Accounts Receivable Clerk position and is based in the Fresno, California area....","If you're a self-starting and detail-oriented Accounts Receivable (A/R) Clerk, we might have a job for you! This is a short-term temporary-to-full-time Accounts Receivable Clerk position and is based in the Fresno, California area. Accountemps is partnering with a growing Manufacturing company who is seeking an Accounts Receivable (A/R) Clerk to join the accounting team. The Accounts Receivable Clerk's duties will be to enter, post and reconcile batches, research and resolve customer A/R issues, prepare aging report, place billing and collection calls, maintain cash receipts journal, update, and reconcile sub-ledger to G/L. This position is for candidates who are looking for career growth potential, and who are capable of processing 200+ invoices per week.

Responsibilities

- Sort out payments and compile segments of monthly closings and annual reports in compliance with GAAP

- Contact clients to help resolve payment issues; assist in setting up payment plans

- Execute a number of foundational accounting tasks in agreement with normal procedures, including general accounting tasks

- Locate delinquent customer accounts through various means, e.g. skip-tracing, phone contact, written correspondence, and make arrangements for payment

- Confirm documents and codes

- Balance bank accounts, posting and balancing financial data in a number of different ledgers

- Be an ambassador of the mission, values, and culture of the organization

- Present information, as requested to shippers, customers, the sales/marketing department and other stakeholders 
 - Observant, accurate and able to thrive in a fast-paced environment

- Demonstrated analytical skills in basic accounts receivable and accounting policy

- General proficiency in Microsoft Word and Microsoft Excel preferred

- AA or BS/BA degree in Accounting or related field

- Knowledge of credit collections

- Solid understanding of accounts receivable

- Proficient in ERP systems

- 2+ years of relevant experience in accounts receivable 
 Accountemps matches highly skilled professionals with accounting finance jobs at the best companies on a temporary and temporary-to-hire basis. Our mission is to provide you with a rewarding finance or accounting job that is well matched to your professional skills – helping you to advance in your career. Our experience, combined with the resources of our worldwide network of offices, makes Accountemps a great resource for your career. We offer excellent opportunities to find temporary accounting and finance jobs for all experience levels. From accounting clerks and bookkeepers to accounts payable and staff accountants, we can provide you unparalleled access to exciting career opportunities. But don't take our word for it. Our company has appeared on Fortune® magazine’s list of “World's Most Admired Companies” since 1998, and 9 out of 10 of our customers would recommend our service to a colleague.

Contact your local Accountemps office at 888.490.3195 or visit www.accountemps.com to apply for this job now or find out more about other job opportunities.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 Accountemps. An Equal Opportunity Employer M/F/Disability/Veterans

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
"Tax Staff - Public","https://www.roberthalf.com/job/dallas-tx/tax-staff-public/04120-0010408423","A multi-billion dollar company is looking for a Staff Tax Accountant for their growing tax team. The Staff Tax Accountant will be joining a growing team that is part of a growing company and under a management team that believes in growing...","A multi-billion dollar company is looking for a Staff Tax Accountant for their growing tax team. The Staff Tax Accountant will be joining a growing team that is part of a growing company and under a management team that believes in growing their people! As a Staff Tax Accountant you will prepare and document tax provision calculations and disclosures, file extensions, assist with income tax audits and research technical tax issues. There will also be other ad hoc requirements of this job that will give you a chance to work outside of traditional tax. This firm has been recognized as one of the “Best Places to Work in DFW"" by the Dallas Business Journal and more recently as a “Best Accounting Firms to Work For"" in the nation by Accounting Today.

For confidential consideration, please e-mail your resume directly to Eric Ressler at [email protected]
If you would like to receive updates more frequently, send me a LinkedIn request. You can find me at: https://www.linkedin.com/in/eric-ressler-b187ab2b 
 - CPA or CPA Candidate
- 1+ year tax preparation experience (1040, 1065, 1120 and 1120‐S)
- Significant QuickBooks experience 
 Robert Half Finance & Accounting, the world's leader in specialized financial staffing, provides exciting full-time opportunities in the areas of accounting, bookkeeping, finance, audit, taxation and more. We pioneered the professional staffing industry, and we've been successfully matching professionals with employers since 1948. Our proven proprietary processes, along with our relationships in 325 locations worldwide, allow us to provide you unparalleled access to exciting career opportunities. But don't take our word for it. Our company has appeared on Fortune® magazine’s list of “World's Most Admired Companies” since 1998, and 9 out of 10 of our customers would recommend our service to a colleague.

Apply for this job now or contact our nearest office at 888.490.5461 for additional information.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 Robert Half Finance & Accounting. An Equal Opportunity Employer M/F/Disability/Veterans

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
"Customer Service Representative","https://www.roberthalf.com/job/palmer-ma/customer-service-representative/02150-0010946682","Seeking Customer Service Representatives!  OfficeTeam has a rewarding career opportunity for an articulate, highly-skilled Customer Service Representative in the growing Manufacturing industry. Do you love building solid customer...","Seeking Customer Service Representatives!

OfficeTeam has a rewarding career opportunity for an articulate, highly-skilled Customer Service Representative in the growing Manufacturing industry. Do you love building solid customer relationships? Then this position may be for you. This position will operate in a fast-paced and dynamic environment. This Customer Service Representative opportunity is located in Palmer, Massachusetts, and is a long-term temporary-to-full-time engagement.

Your responsibilities
- Provide accurate, friendly customer service in a timely fashion
- Field and send out send written business correspondence
- By being successful in your role, you will facilitate business development and client referral goals by actively cross-selling and referring customers
- Organize and route incoming telephone calls

For immediate consideration, contact OfficeTeam today! Please email your most recent resume to [email protected] or contact our Springfield team at (413)732-9464 to learn more about this opportunity and other Customer Service roles in the Western Massachusetts area. 
 - Microsoft Outlook experience
- Proficiency in Microsoft Word
- Proven knowledge of switchboard phones from 1-10 lines
- Data entry experience highly desired
- Customer service experience desired
- Microsoft Excel experience required
- Basic knowledge in computer software programs and office equipment
- Customer service and office administrative skills
- Enthusiastic attitude and an engaging businesslike approach
- 2+ years' experience of demonstrated performance in a goal-driven & customer-focused environment preferred
- Excellent problem-solving skills
- Comfort in pursuing resolutions to complicated customer inquiries using complex research methods
- Excellent verbal, written, and social communication skills
- Foundational knowledge of Customer Relationship Management (CRM) systems, e.g. ACT!, Illustrator, Highrise, and Insightly
- Ability to interact effectively with internal and external partners and clients/customers 
 OfficeTeam is the world's leader in professional staffing for office support jobs, focusing exclusively on the temporary and temporary-to-full-time placement of professionals in the administrative field. We are faster at finding you work because of the depth of our client network. Specifically, our professional staffing managers connect with thousands of hiring managers in North America every week to find your office support job opportunities. We evaluate all of our OfficeTeam temporaries' skills and match them with the needs of top employers in their area.

Apply for this job now or contact us today at 888.490.4154 for additional information.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 OfficeTeam. A Robert Half Company. An Equal Opportunity Employer M/F/Disability/Veterans.

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
"General Office Clerk","https://www.roberthalf.com/job/washington-dc/general-office-clerk/04510-0010945694","You'll be excited to hear about the General Office Clerk opportunity OfficeTeam is filling, if you are a highly motivated self-starter. The General Office Clerk will perform various administrative support tasks, including operating office...","You'll be excited to hear about the General Office Clerk opportunity OfficeTeam is filling, if you are a highly motivated self-starter. The General Office Clerk will perform various administrative support tasks, including operating office equipment and completing general clerical work.

Major responsibilities

- Offer help with front desk and receptionist duties

- Performing data entry, word processing, filing, scanning, copying and faxing

- Supporting diverse projects for other employees as needed

- Providing accurate, friendly customer service in a timely fashion

- Receiving and placing telephone calls

- Interface with customers in a friendly manner

- Drafting correspondence that conform to prescribed style and format 
 - Word and Excel experience is desired

- High school diploma or its equivalent is required

- Ability to multitask and communicate well with individuals of all backgrounds

- Demonstrated flexibility to adapt to changes in procedures and job assignments

- Excellent organizational and multitasking skills

- 1 Year of Office Clerk experience at minimum suggested

- Excellent communication and organizational skills

- Expertise in mail processing

- Solid understanding of mailrooms

- Proficient in handling office equipment

If you are interested in this position, please send your resume to Cameron Helble at [email protected] 
 OfficeTeam is the world's leader in professional staffing for office support jobs, focusing exclusively on the temporary and temporary-to-full-time placement of professionals in the administrative field. We are faster at finding you work because of the depth of our client network. Specifically, our professional staffing managers connect with thousands of hiring managers in North America every week to find your office support job opportunities. We evaluate all of our OfficeTeam temporaries' skills and match them with the needs of top employers in their area.

Apply for this job now or contact us today at 888.490.4154 for additional information.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 OfficeTeam. A Robert Half Company. An Equal Opportunity Employer M/F/Disability/Veterans.

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
"Purchase & Sales Specialist","https://www.roberthalf.com/job/windsor-ct/purchase-sales-specialist/00700-0010946669","Our client, located in the Windsor area, is currently seeking a Procurement Customer Support Agent to join their team!   The Procurement Customer Support Agent position is a critical one to the operations team in the Supply Chain department...","Our client, located in the Windsor area, is currently seeking a Procurement Customer Support Agent to join their team! 

The Procurement Customer Support Agent position is a critical one to the operations team in the Supply Chain department and is an immediate need. The Procurement Customer Support Agent obtains requirements by verifying, preparing, and forwarding purchase orders for the organization and is responsible for Electronic Data Interchange (EDI) from customers. This position reports directly into the Production Manager. 

The primary responsibilities of the position are as follows: 
• Managing the Electronic Data Interchange (EDI) for customers; 
• Processing orders; order entry 
• Verifies purchase requisitions by comparing items requested to master list; 
• Scheduling delivery; prepares purchase orders by verifying specifications and price; 
• Respond promptly to customer inquiries 
• Handle and resolve customer complaints 
• Obtaining approval from requisitioning department; 
• Resolves shipments in error with suppliers; 
• Resolve Accounts Receivable issues 
• interfacing with the Production Planners; customer relations and order entry into their ERP system. 

The ideal candidate will have a minimum of 2 years in a procurement support or manufacturing customer service role, intermediate excel skills including pivot tables and v-lookups and excellent organizational and communication skills. 

If you meet these qualifications and are interested in this opportunity, please apply today, email [email protected] or call Accountemps at 860-278-7170! 
 The ideal candidate will have a minimum of 2 years in a procurement support or manufacturing customer service role, intermediate excel skills including pivot tables and v-lookups and excellent organizational and communication skills. 

If you meet these qualifications and are interested in this opportunity, please apply today, email [email protected] or call Accountemps at 860-278-7170! 
 Accountemps matches highly skilled professionals with accounting finance jobs at the best companies on a temporary and temporary-to-hire basis. Our mission is to provide you with a rewarding finance or accounting job that is well matched to your professional skills – helping you to advance in your career. Our experience, combined with the resources of our worldwide network of offices, makes Accountemps a great resource for your career. We offer excellent opportunities to find temporary accounting and finance jobs for all experience levels. From accounting clerks and bookkeepers to accounts payable and staff accountants, we can provide you unparalleled access to exciting career opportunities. But don't take our word for it. Our company has appeared on Fortune® magazine’s list of “World's Most Admired Companies” since 1998, and 9 out of 10 of our customers would recommend our service to a colleague.

Contact your local Accountemps office at 888.490.3195 or visit www.accountemps.com to apply for this job now or find out more about other job opportunities.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 Accountemps. An Equal Opportunity Employer M/F/Disability/Veterans

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
"Office Assistant","https://www.roberthalf.com/job/jacksonville-fl/office-assistant/01120-0010939754","A construction company located on the westside is looking for an office assistant to help with answering the phones, customer service, marketing, and shipping...","A construction company located on the westside is looking for an office assistant to help with answering the phones, customer service, marketing, and shipping. 
 MS Excel, MS Word 
 OfficeTeam is the world's leader in professional staffing for office support jobs, focusing exclusively on the temporary and temporary-to-full-time placement of professionals in the administrative field. We are faster at finding you work because of the depth of our client network. Specifically, our professional staffing managers connect with thousands of hiring managers in North America every week to find your office support job opportunities. We evaluate all of our OfficeTeam temporaries' skills and match them with the needs of top employers in their area.

Apply for this job now or contact us today at 888.490.4154 for additional information.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 OfficeTeam. A Robert Half Company. An Equal Opportunity Employer M/F/Disability/Veterans.

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
"Full Charge Bookkeeper","https://www.roberthalf.com/job/north-brunswick-nj/full-charge-bookkeeper/02720-0010850424","If you have a background in accounting and you're interested in taking on a challenging Full Charge Bookkeeper role with opportunity for advancement, this job may be for you. If you're comfortable with preparing and processing financial...","If you have a background in accounting and you're interested in taking on a challenging Full Charge Bookkeeper role with opportunity for advancement, this job may be for you. If you're comfortable with preparing and processing financial statements and accounts and managing all general accounting and bookkeeping essential functions, you might be the Full Charge Bookkeeper Accountemps is looking for. The strongest candidates for this position will have excellent organizational skills, strong communication tactics, and the ability to handle and prioritize multiple tasks and deadlines. This long term temporary Full Charge Bookkeeper position is located in North Brunswick, New Jersey.

What you get to do everyday:

- Tracking fixed assets to produce depreciation schedules

- Managing accounting clerks and entry-level bookkeepers

- Maintaining knowledge of current federal, state, and local legal requirements, ensuring adherence to them, filing reports, and communicating with management on needed actions

- Performing reconciliations for bank and general ledgers, as well as payroll processing

- Putting together the trial balance and financial statements, including balance sheet, income statement, and cash flow statement

- Ensuring monthly, quarterly and year end close happens accurately and on time

- Handling processing tasks for accounts payable and accounts receivable, including collections

- Carefully filing documents to preserve historical records

If you are interested, please email your resume to Amanda Powell at [email protected] 
 - Excel, Quickbooks, and Peachtree experience a plus

- Highly organized, attentive, has a sense of urgency, flexible and able to deal with frequent interruptions and changing priorities

- 3+ years of bookkeeping experience

- Can work independently with minimal supervision

- Proven flexibility to adapt to changes in procedures and job assignments

- Experience with payroll preferred

- Knowledgeable of accrual and cash basis of accounting

- Competence with financial data analysis and report generation that is prompt and accurate

- Deep understanding of account reconciliation

- Financial statement preparation experience

- Bank reconciliations experience preferred

- Ability to multitask and meet deadlines

- High school diploma or similar accreditation, and an AA degree or higher in Accounting or Business recommended 
 Accountemps matches highly skilled professionals with accounting finance jobs at the best companies on a temporary and temporary-to-hire basis. Our mission is to provide you with a rewarding finance or accounting job that is well matched to your professional skills – helping you to advance in your career. Our experience, combined with the resources of our worldwide network of offices, makes Accountemps a great resource for your career. We offer excellent opportunities to find temporary accounting and finance jobs for all experience levels. From accounting clerks and bookkeepers to accounts payable and staff accountants, we can provide you unparalleled access to exciting career opportunities. But don't take our word for it. Our company has appeared on Fortune® magazine’s list of “World's Most Admired Companies” since 1998, and 9 out of 10 of our customers would recommend our service to a colleague.

Contact your local Accountemps office at 888.490.3195 or visit www.accountemps.com to apply for this job now or find out more about other job opportunities.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 Accountemps. An Equal Opportunity Employer M/F/Disability/Veterans

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
"Entry Level Accountant","https://www.roberthalf.com/job/irving-tx/entry-level-accountant/04061-9501897554","Are you looking to get your foot in the door with an industry leading organization? Are you looking to learn and grow your accounting skillset? Do you have a degree and at least 1 year of accounting experience? If this sounds like you then...","Are you looking to get your foot in the door with an industry leading organization? Are you looking to learn and grow your accounting skillset? Do you have a degree and at least 1 year of accounting experience? If this sounds like you then we may have the position you have been seeking!


Accountemps is partnered with a highly reputable and continuously growing oil and gas company that is seeking an Entry Level Accountant to join their team! As the Entry Level Accountant you will be responsible for the following duties:

- Daily transaction review and reconciliation for fuel purchases
- Reconcile invoices to bill of lading (BOL)
- Reconcile EFTs to invoices
- Research invoice exceptions, process corrections, and verify results
- Assist in month end close
- Collaborate with other departments on any invoice or BOL issues
- Special projects as assigned


If interested in discussing further please send your resume to [email protected] with the subject ""Entry Level Accountant"". 
 - Bachelors Degree in Accounting
- 1 - 2 years experience in an accounting role
- Strong organizational skills
- Strong analytical and problem solving skills
- Intermediate knowledge of Excel; Pivot Tables, Vlookups, formulas, reporting, etc. 
 Accountemps matches highly skilled professionals with accounting finance jobs at the best companies on a temporary and temporary-to-hire basis. Our mission is to provide you with a rewarding finance or accounting job that is well matched to your professional skills – helping you to advance in your career. Our experience, combined with the resources of our worldwide network of offices, makes Accountemps a great resource for your career. We offer excellent opportunities to find temporary accounting and finance jobs for all experience levels. From accounting clerks and bookkeepers to accounts payable and staff accountants, we can provide you unparalleled access to exciting career opportunities. But don't take our word for it. Our company has appeared on Fortune® magazine’s list of “World's Most Admired Companies” since 1998, and 9 out of 10 of our customers would recommend our service to a colleague.

Contact your local Accountemps office at 888.490.3195 or visit www.accountemps.com to apply for this job now or find out more about other job opportunities.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.

© 2019 Accountemps. An Equal Opportunity Employer M/F/Disability/Veterans

By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.
"
