"vac_title","fulltext","Seniority"
"Praktikant IT-Entwicklung - Projekt Industrie 4.0 / InnoLab4 (m/w)","Praktikant IT-Entwicklung - Projekt Industrie 4.0 / InnoLab4 (m/w) Stellenangebot von BMW Job-Details Einsatzort Weitere Jobs von BMW connecticum Job-Nr. 1160616 / DE_115578 Bewerben Job merken * Beschäftigungsarten: Praktikum Arbeitgeber: BMW Group Arbeitgeber- und Karriere-Profil Angebot vom: 10. Dezember 2018 2018-12-10 Studienbereiche: Informatik: Informatik, Medieninformatik Einsatzorte: Regensburg; Bayern + + + + + Praktikant IT-Entwicklung - Projekt Industrie 4.0 / InnoLab4 (m/w) BMW AG Beschreibung: Wir, die BMW Group, bieten Ihnen ein interessantes Praktikum im Bereich IT-Entwicklung am Standort Regensburg. Im Rahmen Ihrer Tätigkeit als Praktikant (m/w) unterstützen Sie unser Team bei der Entwicklung und Umsetzung innovativer Apps auf Basis von Oracle Application Express in Verbindung mit innovativen sowie benutzerfreundlichen Frontends. Dabei haben Sie die Möglichkeit sich aktiv mit eigenen Ideen einzubringen. Des Weiteren arbeiten Sie mit den internen Fachstellen zusammen. Die Mitwirkung im Innovationslabor bei der Digitalisierung der Fertigung und Instandhaltung rundet Ihr spannendes Aufgabenspektrum ab.Der Beginn des Praktikums sowie die Einsatzdauer können im Vorfeld noch individuell vereinbart werden, wobei die Einsatzdauer mindestens 6 Monate beträgt.Sie möchten einen umfassenden Einblick in alle Bereiche der BMW Group erhalten? Besuchen Sie uns auf unseren Hochschulkontakttagen in Regensburg (21. Oktober 2017) oder Leipzig (27. Oktober 2017). Weitere Termine folgen. Hier erfahren Sie mehr: http://bmw.jobs/hochschulkontakttag.Der Einsatz mit einer Dauer von 6 Monaten kann frühestens am 01.01.2019 beginnen.Dieses Praktikum ist in Vollzeit zu absolvieren.Es besteht die Option eine Studienabschlussarbeit anzuschließen. Qualifikationen und Erfahrung: - Studium der Informatik, Informationswissenschaften, Medieninformatik oder ein vergleichbarer Studiengang.- Zweite Hälfte Diplom-/Bachelorstudiengang oder Masterstudium.- Kenntnisse im Bereich der Entwicklung von mobilen, webbasierten Anwendungen sowie in der Gestaltung intuitiver Benutzeroberflächen.- Kenntnisse im Bereich Datenbanken.- Sicherer Umgang mit MS Office.- Verhandlungssichere Deutschkenntnisse.- Team- und Kommunikationsfähigkeit.- Freude am eigenverantwortlichen Arbeiten.- Analytisches Denkvermögen.- Kreativität und Eigeninitiative.Ansprechpartner:BMW Group Recruiting Team+ 49 89 382-17001 Praktikant IT-Entwicklung - Projekt Industrie 4.0 / InnoLab4 (m/w) Geschäftsbereich: BMW AG Standort: Regensburg Stellenreferenz: DE_115578 APPLY Stellenangebot: Praktikant IT-Entwicklung - Projekt Industrie 4.0 / InnoLab4 (m/w) Praktikant IT-Entwicklung - Projekt Industrie 4.0 / InnoLab4 (m/w) BMW AG Beschreibung: Wir, die BMW Group, bieten Ihnen ein interessantes Praktikum im Bereich IT-Entwicklung am Standort Regensburg. Im Rahmen Ihrer Tätigkeit als Praktikant (m/w) unterstützen Sie unser Team bei der Entwicklung und Umsetzung innovativer Apps auf Basis von Oracle Application Express in Verbindung mit innovativen sowie benutzerfreundlichen Frontends. Dabei haben Sie die Möglichkeit sich aktiv mit eigenen Ideen einzubringen. Des Weiteren arbeiten Sie mit den internen Fachstellen zusammen. Die Mitwirkung im Innovationslabor bei der Digitalisierung der Fertigung und Instandhaltung rundet Ihr spannendes Aufgabenspektrum ab. Der Beginn des Praktikums sowie die Einsatzdauer können im Vorfeld noch individuell vereinbart werden, wobei die Einsatzdauer mindestens 6 Monate beträgt. Sie möchten einen umfassenden Einblick in alle Bereiche der BMW Group erhalten? Besuchen Sie uns auf unseren Hochschulkontakttagen in Regensburg (21. Oktober 2017) oder Leipzig (27. Oktober 2017). Weitere Termine folgen. Hier erfahren Sie mehr: http://bmw.jobs/hochschulkontakttag. Der Einsatz mit einer Dauer von 6 Monaten kann frühestens am 01.01.2019 beginnen. Dieses Praktikum ist in Vollzeit zu absolvieren. Es besteht die Option eine Studienabschlussarbeit anzuschließen. Qualifikationen und Erfahrung: - Studium der Informatik, Informationswissenschaften, Medieninformatik oder ein vergleichbarer Studiengang. - Zweite Hälfte Diplom-/Bachelorstudiengang oder Masterstudium. - Kenntnisse im Bereich der Entwicklung von mobilen, webbasierten Anwendungen sowie in der Gestaltung intuitiver Benutzeroberflächen. - Kenntnisse im Bereich Datenbanken. - Sicherer Umgang mit MS Office. - Verhandlungssichere Deutschkenntnisse. - Team- und Kommunikationsfähigkeit. - Freude am eigenverantwortlichen Arbeiten. - Analytisches Denkvermögen. - Kreativität und Eigeninitiative. Ansprechpartner: BMW Group Recruiting Team + 49 89 382-17001 Praktikant IT-Entwicklung - Projekt Industrie 4.0 / InnoLab4 (m/w) Geschäftsbereich: BMW AG Standort: Regensburg Stellenreferenz: DE_115578 APPLY Bei der Bewerbung angeben Jobbezeichnung: Praktikant IT-Entwicklung - Projekt Industrie 4.0 / InnoLab4 (m/w) Jobkennzeichen: connecticum-JobNr. 1160616 / DE_115578 Kontaktdaten: Arbeitgeber-Profil: BMW Group Bewerben Job merken Arbeitgeberprofil","Junior"
"Assistenzärzte (m/w) für ein Ausbildungscurriculum Innere Medizin oder Allgemeinmedizin","assistenzärzte (m/w) für ein ausbildungscurriculum innere medizin oder allgemeinmedizin assistenzärzte (m/w) für ein ausbildungscurriculum innere medizin oder allgemeinmedizin das klinikum chemnitz gehört zu den größten krankenhäusern deutschlands und verfügt als krankenhaus der maximalversorgung über ein breites diagnostisches und therapeutisches spektrum. die kliniken für innere medizin i bis v sowie das geriatriezentrum suchen zum nächstmöglichen zeitpunkt assistenzärzte (m/w) für ein ausbildungscurriculum für innere medizin oder allgemeinmedizin. in den internistischen kliniken der klinikum chemnitz ggmbh werden patienten aus allen bereich der inneren medizin (kardiologie, angiologie, gastroenterologie, pneumologie, hämoto-/onkologie, nephrologie, endokrinologie, infektiologie und internistische intensivmedizin) behandelt. die chefärzte der kliniken besitzen die basisweiterbildungsermächtigung sowie die weiterbildungsermächtigung für den jeweiligen schwerpunkt. wir bieten eine weiterbildung als strukturiertes weiterbildungscurriculum in der basisweiterbildung innere medizin über 36 monate, die sich in jeweils sechs monate kardiologie, pneumologie, nephrologie, hämatologie, gastroenterologie und geriatrie teilt. nach absolvierter basisweiterbildung bieten wir die fortsetzung der ausbildung im angestrebten schwerpunkt an, die eine sechsmonatige weiterbildungszeit im bereich der internistischen intensivmedizin einschließt. alle kliniken bieten klinikinterne fortbildungen an. des weiteren werden durch die klinikum chemnitz ggmbh eine vielzahl von überregionalen fortbildungen organisiert. wir bieten eine überdurchschnittliche vergütung wie auch eine betriebliche altersversorgung sowie möglichkeiten der zusätzlichen privaten rentenvorsorge. das klinikum ist akademisches lehrkrankenhaus der universität leipzig und der technischen universität dresden. mit der technischen universität chemnitz bestehen enge verbindungen in lehre und forschung. das klinikum chemnitz ist ein familienfreundliches unternehmen und eröffnete mit den sonnenkindern 1997 den ersten betriebskindergarten im freistaat sachsen. chemnitz ist eine grüne stadt mit attraktiver umgebung. das erzgebirge, das an der südgrenze der stadt beginnt, eröffnet umfangreiche möglichkeiten für winter- und sommeraktivitäten. die kunstsammlungen chemnitz und die oper gelten als führende institutionen ihrer art in sachsen. in der stadt werden alle bildungs- und schulformen angeboten. für vorabinformationen steht ihnen das personalwesen der klinikum chemnitz ggmbh, tel. 0371 333-32815, zur verfügung, über welches auch jederzeit ein kontakt in die jeweilige internistische fachklinik vermittelt werden kann. sollten wir ihr interesse geweckt haben, senden sie bitte ihre aussagekräftige bewerbung auf dem postweg an: klinikum chemnitz ggmbh abt. personalwesen, herrn bergmann flemmingstraße 2 09116 chemnitz","Medior"
"Koch (m/w)","Das Sylter Stadtgeflüster ist eine Genussoase in der Westerländer Innenstadt auf der wunderschönen Insel Sylt. Gemütlichkeit im Beachhouse-Stil mit Liebe zum Detail, gepaart mit kreativen Köstlichkeiten und einem sehr guten und persönlichen Service, zeichnet uns seit Jahren aus. Unser junges, engagiertes Team sorgt hinter den Kulissen für die richtige Mischung aus Entspannung, Erlebnis und Genuss. Uns ist es wichtig, das unser Team motiviert und selbst nach einer harten Saison noch mit Freude bei der Arbeit ist. Unsere Stammgäste kommen nicht nur wegen des guten Essens und der entspannten Atmosphäre, sondern auch, weil Sie die Freude im Team spüren und sich dadurch willkommen fühlen. Wir bieten von 13:00 - 22:00 Uhr warme Küche, mit einer Küchenpause vor dem Abendgeschäft. Die Mittagskarte sowie die Abendkarte locken mit Frische, Saisonalität, hochwertigen Produkten und vielen kreativen Köstlichkeiten. Koch (m/w) mit Aufstiegschancen zum Sous Chef Wir suchen: Einen gelernten Koch mit Berufserfahrung * der gäste- und teamorientiert arbeitet * engagiert und motiviert mitarbeitet * Kreativ, belastbar und mit Einsatzbereitschaft dabei ist Dafür bieten wir: * geregelte Arbeitszeiten und eine überdurchschnittliche Bezahlung * ein junges, engagiertes Team und ein freundliches Arbeitsklima * Entfaltungsmöglichkeiten für kreative Köpfe * einem wunderschönen Arbeitsplatz auf der traumhaften Insel Sylt mit Festanstellung oder als Saisonstelle * auf Wunsch eine Personalwohnung Über aussagekräftige Bewerbungen freuen wir uns sehr! Bitte via Mail an: info@sylter-stadtgefluester-restaurant.de Tel: 0172-4125168, Thorsten Wilke Sylter Stadtgeflüster Boysenstraße 4, 25980 Westerland / Sylt, Deutschland E-Mail: info@sylter-stadtgefluester-restaurant.de Internet: sylter-stadtgeflüster.de Ansprechpartner: Frau Iris und Thorsten Wilke","Medior"
"Fachinformatiker/in, Systemintegration","Fachinformatiker/in, Systemintegration ?% Eignung für diesen Ausbildungsplatz Eignungs-Check JETZT BEWERBEN! __________________________________________________ Die Pärchen Software und Hardware, Informationstechnologie und Telekommunikation, Betriebssysteme und Netzwerke sind Dir nicht fremd? Dann bist Du hier genau richtig! Dich begeistert die ganze Palette der Informations- und Telekommunikationstechnologie? Du verstehst, wie komplexe Systeme funktionieren und wie Hard- und Softwarekomponenten integriert werden? Dann solltest Du die Ausbildung zum/r ""Fachinformatiker/in Systemintegration"" bei uns machen Die Ausbildung beginnt am 1. September und dauert drei Jahre (Verkürzung möglich). Für die Dauer der Ausbildung stellt die Telekom Dir einen Laptop und mobiles Internet zur Verfügung. Anforderungen Schulnoten sind nicht alles was zählt. Wir sind der Meinung, dass Du uns am besten mit Deinem Talent, Deinem Engagement und Deiner Persönlichkeit überzeugen kannst. Deswegen bist Du bei uns richtig mit: * Haupt-/Realschulabschluss * Abitur * Einem vergleichbaren Schulabschluss Um bei uns richtig durchzustarten, solltest du außerdem mitbringen: * Interesse an mathematisch-technischen Aufgaben und Erfahrung mit elektronischen Medien * Spaß an Teamarbeit sowie an selbstständiger Problemlösung * Gute Englisch-Kenntnisse * Mobilität und Flexibilität Schwerpunkte Such´s Dir aus - Du hast die Wahl: Bei uns gibt es eine große Vielfalt an Bereichen, in denen Du Dich spezialisieren kannst. Weil wir Dich individuell fördern wollen. Was interessiert Dich? Wo liegen deine Fähigkeiten? * Planen, Installieren und Konfigurieren von komplexen IT-Systemen * Anwenderschulung und -präsentation * Systemintegration, Netzwerke * Service, Beratung und Betreuung, Fehleranalyse, Störungsbeseitigung * Spezifische Lösungsentwicklung durch Analyse des Marktes und der Arbeitsabläufe * Arbeitsorganisation, Projektmanagement, Qualitätssicherung Neugierig? Dann geh direkt auf den ""Jetzt bewerben""-Button! Jetzt Bewerben!","Junior"
"Praktikum im Spezialtiefbau - Bauingenieurwesen","Praktikum im Spezialtiefbau - Bauingenieurwesen über Campusjäger GmbH München * Posted on 09 Nov 2018 * Job type: For students * Career level: Student/Intern * Industry: Construction * Sign up and apply * Create search alert Jobs to match your lifestyle: Enter a job title or keyword Location Radius For recruiters: Post a job","Junior"
"Technischen Berater (m/w) im Außendienst","Jobbörse Stellenangebote Stellenangebote Vertrieb Stellenangebote Außendienst, Kundenberatung, Kundenbetreuung Zurück Technischen Berater (m/w) im Außendienst HAUPA GmbH & Co.KG merken gemerkt Verstoß melden teilen * E-Mail * Facebook kalaydo.de-Code: a74661da Anzeige vom: 27.10.2018 Per E-Mail bewerbenBewerben Referenznummer: 2533229-sde Wichtig: Unbedingt Referenznummer angeben. Sie vereinfachen damit die Bearbeitung Ihrer Bewerbung.","Medior"
"Naturwissenschaftler (m/w) für die Abteilung Kontaminanten","Wo Viele zusammenarbeiten, entsteht etwas Großes. Über 3.500 Mitarbeiterinnen und Mitarbeiter engagieren sich täglich mit Leidenschaft und Know-how für the nature network®, die weltweit tätige Unter­nehmens­gruppe für Produkte und Dienstleistungen rund um die Pflanze für die Tee-, Getränke- und phytopharmazeutische Industrie. Das Portfolio unserer drei Geschäfts­bereiche Martin Bauer Group, PhytoLab und Europlant Group erstreckt sich von der Rohstoff­beschaffung über die Veredelung zu hochwertigen Grundstoffen bis hin zu Labor-, Beratungs- und Vertriebsdienstleistungen. Zum nächstmöglichen Zeitpunkt suchen wir Sie für unseren Geschäftsbereich PhytoLab am Standort Vestenbergsgreuth als Naturwissenschaftler (m/w) für die Abteilung Kontaminanten Im Laborbereich Kontaminanten unterstützen Sie die Laborleitung und üben schwer­punktmäßig folgende Tätigkeiten aus: * Planung und Koordination der Prüfungen von Pestiziden, Pyrrolizidinalkaloiden und weiteren Kontaminanten * Überprüfung und Freigabe von Analysendaten * Fachliche Unterstützung des Laborpersonals bei analytischen und technischen Frage&shystel&shylungen * Kundenbetreuung und -beratung * Optimierung der Abläufe im Routinelabor * Arbeiten im regulierten Umfeld (GMP und DAkkS) Natürlich qualifiziert: * Abgeschlossenes Studium der Chemie, Lebensmittelchemie oder eine vergleichbare Quali­fikation * Berufserfahrung in einem analytischen Labor wünschenswert * Sehr gute analytische Kenntnisse * Erste Erfahrungen in der Rückstands- und Kontaminantenanalytik * Ausgezeichnete Kenntnisse im Umgang mit LC-MS / MS und LC HR-MS, GC und GC-MS / MS * Kommunikationsstärke, Teamgeist, Belastbarkeit und Flexibilität runden Ihr Profil ab Nährboden für Ihre Ideen: Wir bieten Ihnen eine interessante Stelle in einem dynamisch wachsenden Familien­unter­nehmen mit inter­nationaler Ausrichtung. Wir legen Wert auf ein persönliches Arbeits­klima, eine partner­schaftliche Zusammen­arbeit und offene Kommunikation untereinander. Umfangreiche Fort- und Weiterbildungs­möglichkeiten im Rahmen unserer MB Academy sowie attraktive Sozial­leistungen schaffen die besten Rahmen­bedingungen für alle, die mit Eigen­initiative die viel­fältigen Heraus­forderungen und echten beruflichen Chancen in unserem Unternehmen annehmen wollen. Sie sind neugierig auf neue Perspektiven und wollen zum Erfolg von the nature network® beitragen? Dann freuen wir uns darauf, Sie kennenzulernen! Bewerben Sie sich vorzugsweise online oder senden Sie Ihre Bewerbungs­unterlagen unter Angabe der Kennziffer 82/2018, Ihrer Gehaltsvorstellung und Ihres frühesten Eintrittstermins: PhytoLab GmbH & Co. KG * Janine Soysev * Telefon 09163 88-279 Dutendorferstraße 5-7 * 91487 Vestenbergsgreuth Gerne steht Ihnen Frau Janine Soysev im Vorfeld für Ihre Fragen zu Stelle und Bewerbung zur Verfügung.","Junior"
"Teammanager (m/w/d) Konzernrechnungslegung","Teammanager (m/w/d) Konzernrechnungslegung dennree GmbH 95183 Feilitzsch, 95183 Trogen, 95183 Töpen, 95183 Töpen 07.01.2019 Weiterleiten: Daten dieser Anzeige Job-ID: 009401893 Teammanager (m/w/d) Konzernrechnungslegung dennree GmbH Kontakt dennree GmbH Germany https://karriere.dennree.de/karriere/#/~/application/5005/usc3qemuvhhbu3uf Positionsbeschreibung Sie erstellen termingerecht den jährlichen Konzernabschluss unserer Unternehmensgruppe und führen dabei ein Team mit qualifizierten Mitarbeitern (m/w/d). Insbesondere vereinheitlichen, strukturieren und bündeln Sie die Einzelabschlüsse unserer Konzernunternehmen und nehmen die entsprechenden Konsolidierungen vor. Sie sind interner Ansprechpartner (m/w/d) für die Fachbereiche und arbeiten eng mit dem Controlling zusammen. Weiterhin optimieren Sie die Prozesse im Finanzbereich und sind zuständig für die Einführung und Weiterentwicklung der IT-Systeme. Zudem unterstützen Sie die Leitung Finanzen bei strategischen Aufgabenstellungen sowie bei der finanziellen Steuerung der gesamten Unternehmensgruppe. Darüber hinaus sind Sie an abteilungsübergreifenden Projekten beteiligt. Anzeigeninhalt Die dennree Gruppe ist das führende Handelshaus für Bio-Lebensmittel und Naturkosmetik im deutschsprachigen Raum mit über 5.500 Mitarbeiterinnen und Mitarbeitern. Als Groß­händler beliefern wir über 1.400 selbst­ständige Biomärkte bzw. Bio-Supermärkte in Deutschland, Österreich, Luxemburg und Südtirol / Italien und haben mittler­weile über 285 eigene Märkte unter dem Namen denn's Biomarkt. Um unseren erfolgreichen Weg weiter fortsetzen zu können, suchen wir Sie für unsere Zentrale in Töpen (Raum Hof / Oberfranken) als Teammanager (m/w/d) Konzernrechnungslegung Ihre Aufgaben: Sie erstellen termingerecht den jährlichen Konzernabschluss unserer Unternehmensgruppe und führen dabei ein Team mit qualifizierten Mitarbeitern (m/w/d). Insbesondere vereinheitlichen, strukturieren und bündeln Sie die Einzelabschlüsse unserer Konzernunternehmen und nehmen die entsprechenden Konsolidierungen vor. Sie sind interner Ansprechpartner (m/w/d) für die Fachbereiche und arbeiten eng mit dem Controlling zusammen. Weiterhin optimieren Sie die Prozesse im Finanzbereich und sind zuständig für die Einführung und Weiterentwicklung der IT-Systeme. Zudem unterstützen Sie die Leitung Finanzen bei strategischen Aufgabenstellungen sowie bei der finanziellen Steuerung der gesamten Unternehmensgruppe. Darüber hinaus sind Sie an abteilungsübergreifenden Projekten beteiligt. Ihre Qualifikation: Sie verfügen über ein erfolgreich abgeschlossenes wirtschaftswissenschaftliches Hochschulstudium oder eine vergleichbare Qualifikation. Sie haben relevante Berufs- und Führungserfahrung im Bereich Finanz- und Rechnungswesen. Sicherer Umgang mit SAP sowie anderen ERP-Systemen und den Microsoft-Office-Anwendungen ist für Sie selbstverständlich. Sie besitzen eine strukturierte und sorgfältige Arbeitsweise, agieren jedoch auch aktiv und dynamisch. Weiterhin überzeugen Sie durch die Fähigkeit, Entscheidungen mit Weitblick und im Einklang mit der Unternehmensstrategie zu treffen. Ebenso haben Sie Freude an der Weiterentwicklung und Optimierung geschäftlicher Prozesse. Sie zeichnen sich durch Durchsetzungsfähigkeit und Flexibilität sowie durch Initiative und Überzeugungskraft aus. Wir bieten: Eine interessante und verantwortungsvolle Tätigkeit innerhalb eines erfolgreichen und expandierenden Unternehmens Ein hohes Maß an Eigenverantwortung mit der Chance, den Erfolg und das Wachstum unserer Unternehmensgruppe aktiv mitzugestalten Ein attraktives Gehaltspaket und ein modernes Arbeitsumfeld Möglichkeiten der Weiterentwicklung Haben Sie Interesse, unseren erfolgreichen Weg mitzugestalten? Dann senden Sie Ihre voll­ständigen Bewerbungs­unter­lagen (tabellarischen Lebens­lauf, Zeugnis­kopien und den möglichen Eintritts­termin) bitte an: dennree GmbH Personalabteilung Hofer Straße 11, 95183 Töpen Jetzt bewerben E-Mail: bewerbung@dennree.de WIR FREUEN UNS AUF IHRE BEWERBUNG! dennree GmbH Personalabteilung Hofer Straße 11, 95183 Töpen Jetzt bewerben, www.dennree.de E-Mail: bewerbung@dennree.de WIR FREUEN UNS AUF IHRE BEWERBUNG! Berufsfeld Finanz-/ Rechnungswesen/ Controlling Branche Groß-/ Einzelhandel Position Bereichs-/ Abteilungs-/ Gruppenleitung Art der Anstellung Vollzeit Dienstsitz 95183 Feilitzsch 95183 Trogen 95183 Töpen * © Schwarzwälder Bote * Mediadaten * Datenschutz * AGB * Impressum * Nutzungsbasierte Onlinewerbung","Senior"
,"Zur Erweiterung unserer Teams im Einsatz bei Microsoft Deutschland GmbH suchen wir eine/n: Marketing Program Manager Hardware (f/m) Technology enhances your life - your job should too. At Microsoft Digital Stores, that is what we believe. We are the face of Microsoft's cutting-edge devices and services, designed to provide customers, consumer and commercial, with a world-class experience in this mobile-first, cloud-first world. We serve as centers of innovation, connecting customers with technology that simplifies their lives, improves their productivity and inspires their creative potential. As a member of the Microsoft Digital Stores team you will cultivate the skills to pave the way for your ultimate career path. Your unique talents, perspective, and abilities will help inform our journey and transformation as a company. We are seeking teammates who are dedicated to finding deeper meaning and purpose in their work, who want to learn, to contribute and to grow. Join our growth journey - find your passion. To fuel our continued growth in Germany, Austria and Switzerland (DACH sub-region), we are seeking a Marketing Program Manager Hardware (f/m) to grow our online sales of Surface, Mixed Reality and related accessories. The position requires a self-starter who can proactively work within an ambiguous environment demonstrating problem solving skills and the ability to effectively communicate with varied audiences. Aufgaben: * Manage and coordinate projects from the local marketing calendar * Create promotion requests for our Hardware products * Publish and analyze sales and marketing performance Reports * Capture feedback and make recommendations to improve program execution * Consolidate and document learning and best practices throughout the fiscal year * Build and manage access to resources, assets and content for Microsoft Digital Store * Coordinate activities with Local Category and Demand Generation teams Anforderungen: * Bachelor's degree or equivalent work experience * Digital Marketing and e-commerce background preferred * Strong organizational and analytical skills with experience in project management strongly preferred * Excellent communication and cross group skills * Fluent English language skills required * Creativity in problem solving Darauf können Sie sich freuen: Wir möchten Sie in einer internationalen Arbeitswelt willkommen heißen, die durch Flexibilität und eine offene sowie dynamische Unternehmenskultur gekennzeichnet ist. Als Gegenleistung für hervorragende Arbeit stellen wir sicher, dass Sie die Möglichkeit haben, Ihre Interessen und Leidenschaften auch außerhalb Ihrer Arbeitszeiten wahrnehmen zu können. Sie teilen unsere Leidenschaft und unsere Vision der Zukunft? Dann freuen wir uns auf Ihre Bewerbung! Bitte beachten Sie, dass die Anstellung über eine Arbeitnehmerüberlassung erfolgt und Sie über uns bei Microsoft arbeiten werden. Creakom Dialog GmbH Herr Florian Pieper Walter-Gropius-Straße 7 80807 München Tel.: +49 (0) 89 3176 4489 Fax: +49 (0) 89 3176 4489 E-:Mail: Florian.Pieper@creakom.de Internet: Personal Services - Outsourcing Services - Consulting Services - Marketing Services","Senior"
"Hairstylist/in IN SCHWABING gesucht, Dienstwohnung verfügbar (Friseur/in)","Hairstylist/in IN SCHWABING gesucht, Dienstwohnung verfügbar (Friseur/in) directhire Stellenangebotsbeschreibung: Hairstylist/in und Meister/in (Vollzeit) in München-Schwabing gesucht Wir sind ein wachsendes Unternehmen mit internationalen Hairstylisten und innovativem Bio Konzept. Unser Fokus liegt auf modernen, natürlichen Looks mit gesunden und lebendigen Haaren, da nur diese die Perfektion in Schnitt & Style vervollkommnen. Für dieses Ziel arbeiten wir mit Bioprodukten und Biotechniken. Sie sind ein Hairstylist (gerne auch Berufseinsteiger), sind engagiert und haben Lust darauf Neues zu lernen und mit uns zu wachsen? Sie sind bereits Meister/in mit Lust auf eine Führungsposition? Dann melden Sie sich bei uns! Wir freuen uns auf Sie! Ihre Aufgaben * Färben/Schneiden/Stylen nach schonenden Techniken und neusten Trends * Umfassende Kopfhaut und Haaranalyse mit Beratung * Haarpflege und Haartherapie * Verkauf von Produkten * Evtl. Haarverlängerung und Haarverdichtung * Als Meister/in auch Führungsaufgaben im Salon Ihr Profil * Sie überzeugen durch qualitative und hochwertige Arbeitsweise * Sie sind zuverlässig und motiviert * Sie arbeiten eigenständig und besitzen Verantwortungsbewusstsein * Sie sind trendbewußt, kreativ, offen für Neues und bilden sich gerne weiter * Sie besitzen Teamgeist und ein freundliches Wesen * Sie lieben Menschen und Haare * Englisch Kenntnisse von Vorteil Wir bieten * Sichere Position und moderner Arbeitsplatz * Ein motiviertes, nettes, internationales Team * Überdurchschnittliches Gehalt * 1 Zimmer Wohnung in München Schwabing * Fortbildungen * Karierechance mit Perspektive Wir sind gespannt auf Ihre vollständigen Bewerbungsunterlagen unter Angabe Ihres frühestmöglichen Eintrittstermins und Ihrer Gehaltsvorstellung vorzugsweise per E-Mail an info@fuerihrehaare.de.. Mehr Infos zu unserem Unternehmen finden Sie unter www.fuerihrehaare.de. Kontakt: BioHairSpa GmbH Melanie Ferell info@biohairspa.de Tel. 0172 8338 143 Fax 089/ 24290668 www.biohairspa.de http://www.biohairspa.de/karriere.html Ergänzende Informationen: Anforderungen an den Bewerber: Expertenkenntnisse: Frisurengestaltung, Verkauf, Haarefärben, Typ-, Stil-, Farbberatung parttime fulltime Gewünschte Bewerbungsarten: per E-Mail, telefonisch, über die JOBBÖRSE Internetadresse: http://www.biohairspa.de Geforderte Anlagen: Geforderte Anlagen: Lebenslauf, Zeugnisse Stellenangebot-Details in der Jobbörse der BA aufrufen: 10000-1164392149-S 10000-1164392149-S","Senior"
