"jobtitle","link","summary","description","Seniority"
"Einkäufer (w/m/d)","https://www.roberthalf.de/job/munchen/einkaufer-wmd/06640-0010813545-dede","Einkäufer (w/m/d) gesucht - Für unseren Kunden, ein renommiertes Unternehmen mit Sitz im Raum Münchens, suchen wir ab sofort einen Einkäufer (w/m/d). Das Unternehmen ist in der Vermietung von...","<div class=""rh-job-page__job-info-text""><p><strong>Einkäufer (w/m/d)</strong> <strong>gesucht</strong> - Für unseren Kunden, ein renommiertes Unternehmen mit Sitz im Raum Münchens, suchen wir ab sofort einen Einkäufer (w/m/d). Das Unternehmen ist in der Vermietung von Baumaschinen tätig und international führend auf dem Markt. Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.<br/> </p><br/><p><strong>Ihre Aufgaben als</strong><strong> Einkäufer (w/m/d)</strong></p><br/><ul><br/><li>Unterstützung des Teams in der Entwicklung und Umsetzung neuer Strategien</li><br/><li>Mitarbeit im Bedarfsmanagement</li><br/><li>Lieferantenanalyse und -beschaffung</li><br/><li>Prozessoptimierung und -implementierung</li><br/></ul><br/><p> </p><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Erfolgreich abgeschlossene kaufmännische Ausbildung, oder vergleichbare Erfahrung, idealerweise abgeschlossenes Studium im Supply Chain Management</li><br/><li>Berufserfahrung im Einkauf erwünscht</li><br/><li>Teamfähigkeit und Belastbarkeit</li><br/><li>Sicheres und freundliches Auftreten</li><br/><li>Schnelle Auffassungsgabe und Verhandlungsgeschick</li><br/><li>Selbstständige und verantwortungsvolle Arbeitsweise</li><br/><li>Sicherer Umgang mit MS-Office-Programmen, Umgang mit Purchase-to-Pay-Systemen erwünscht</li><br/><li>Fließende Deutschkenntnisse in Wort und Schrift erforderlich, fließende Englischkenntnisse erwünscht</li><br/></ul><br/><p> </p><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als<strong> Einkäufer (w/m/d)</strong> unter Angabe der <strong>Referenznummer</strong> <strong>06640-0010813545</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Frau Anna Ilinseer von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuNDQxMDIuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>","Medior"
"Bilanzbuchhalter (w/m/d)","https://www.roberthalf.de/job/essen/bilanzbuchhalter-wmd/60050-0010810252-dede","Bilanzbuchhalter (w/m/d) gesucht - Für unseren Kunden, ein Unternehmen mit Sitz in Essen, suchen wir ab sofort einen Bilanzbuchhalter (w/m/d). Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung,...","<div class=""rh-job-page__job-info-text""><p><strong>Bilanzbuchhalter (w/m/d)</strong> <strong>gesucht</strong> - Für unseren Kunden, ein Unternehmen mit Sitz in Essen, suchen wir ab sofort einen Bilanzbuchhalter (w/m/d). Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  <br/> </p><br/><p><strong>Ihre Aufgaben als</strong><strong> Bilanzbuchhalter (w/m/d)</strong></p><br/><ul><br/><li>Vorbereitung und Durchführung von Monats-,Quartals· und Jahresabschlüssen nach HGB</li><br/><li>Durchführung des monatlichen Reportings</li><br/><li>Laufende Buchung von Geschäftsvorfällen</li><br/><li>Laufende Kontenanalysen und Abstimmungen</li><br/></ul><br/><p> </p><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Einschlägige Berufserfahrung im Bereich Accounting und Abschlusserstellung</li><br/><li>Erfahrung in der nationalen Rechnungslegung nach HGB</li><br/><li>Erfahrung im Umgang mit MS Office Voraussetzung</li><br/></ul><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Bilanzbuchhalter (w/m/d) unter Angabe der <strong>Referenznummer</strong> <strong>60050-0010810252</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Frau Atak von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuNTg0OTQuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>","Senior"
"Bilanzbuchhalter (w/m/d)","https://www.roberthalf.de/job/duisburg/bilanzbuchhalter-wmd/06630-0010807604-dede","Bilanzbuchhalter (w/m/d) gesucht - Für unseren Kunden, ein Unternehmen aus dem öffentlichen Dienst in Duisburg, suchen wir ab sofort einen Bilanzbuchhalter (w/m/d). Das Unternehmen bietet ein großes und...","<div class=""rh-job-page__job-info-text""><p><strong>Bilanzbuchhalter (w/m/d)</strong> <strong>gesucht</strong> - Für unseren Kunden, ein Unternehmen aus dem öffentlichen Dienst in Duisburg, suchen wir ab sofort einen Bilanzbuchhalter (w/m/d). Das Unternehmen bietet ein großes und erfahrenes Team, Aufgaben mit einer aussichtsreichen Karriereperspektive und eine gute Anbindung an die öffentlichen Verkehrsmittel. Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  <br/> </p><br/><p><strong>Ihre Aufgaben als</strong><strong> Bilanzbuchhalter (w/m/d)</strong></p><br/><ul><br/><li>Anlagenbuchhaltung</li><br/><li>Erstellung von Monats-, Quartals- und Jahresabschlüssen nach HGB</li><br/><li>Kontenabstimmung</li><br/><li>Bildung sowie Buchung von Rückstellung und Abgrenzungen</li><br/><li>Mahnwesen, Zahlungsverkehr und Bearbeitung offener Posten</li><br/></ul><br/><p> </p><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Abgeschlossene Ausbildung</li><br/><li>Selbstständige Erstellung von Jahresabschlüssen</li><br/><li>Berufserfahrungen als Bilanzbuchhalter (w/m/d)</li><br/><li>Erfahrungen mit SAP oder Datev</li><br/></ul><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Bilanzbuchhalter (w/m/d) unter Angabe der <strong>Referenznummer</strong> <strong>06630-0010807604</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Frau Katharina Schneider von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuMjY4MjEuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>","Senior"
"Finanzbuchhalter (w/m/d)","https://www.roberthalf.de/job/unna/finanzbuchhalter-wmd/60050-0010810215-dede","Finanzbuchhalter (w/m/d) gesucht - Für unseren Kunden, mit Sitz in Essen, suchen wir im Rahmen der Arbeitnehmerüberlassung einen Finanzbuchhalter (w/m/d).Der Einstieg erfolgt im Rahmen der...","<div class=""rh-job-page__job-info-text""><p><strong>Finanzbuchhalter (w/m/d)</strong> <strong>gesucht</strong> - Für unseren Kunden, mit Sitz in Essen, suchen wir im Rahmen der Arbeitnehmerüberlassung einen Finanzbuchhalter (w/m/d).</p><br/><p>Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  <br> </br></p><br/><p><strong>Ihre Aufgaben als</strong><strong> Finanzbuchhalter (w/m/d)</strong></p><br/><ul><br/><li>Operative Mitarbeit in der Buchhaltung: Debitoren, Kreditoren</li><br/><li>Kontenklärung</li><br/><li>Sachkontenbuchung</li><br/><li>Mitwirkung bei der Erstellung der Monats- und Jahresabschlüsse<br> </br></li><br/></ul><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Erfolgreich abgeschlossene kaufmännische Ausbildung</li><br/><li>Mehrjährige Berufserfahrung in der Buchhaltung</li><br/><li>Sehr gute SAP -Kenntnisse<br> </br></li><br/></ul><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Finanzbuchhalter (w/m/d) unter Angabe der <strong>Referenznummer</strong> <strong>60050-0010810215</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Frau Atak von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuOTEyNjEuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>","Medior"
"Sachbearbeiter Logistik (w/m/d)","https://www.roberthalf.de/job/worms/sachbearbeiter-logistik-wmd/60080-0010813621-dede","Sachbearbeiter Logistik (w/m/d) gesucht - Für unseren Kunden, ein Industrieunternehmen mit Sitz im Großraum Worms, suchen wir ab sofort einen Sachbearbeiter Logistik (w/m/d) auf Vollzeit. Das Unternehmen...","<div class=""rh-job-page__job-info-text""><p><strong>Sachbearbeiter Logistik (w/m/d)</strong> <strong>gesucht</strong> - Für unseren Kunden, ein Industrieunternehmen mit Sitz im Großraum Worms, suchen wir ab sofort einen Sachbearbeiter Logistik (w/m/d) auf Vollzeit. Das Unternehmen ist international aufgestellt und bietet den perfekten Berufseinstieg um sein erworbenes Fachwissen im praktischen Umfeld umzusetzen. Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  <br/> </p><br/><p><strong>Ihre Aufgaben als</strong><strong> Sachbearbeiter Logistik (w/m/d)</strong></p><br/><ul><br/><li>Erstellen von Versand- und Zollpapieren</li><br/><li>Organisieren von Sondertransporten</li><br/><li>Bearbeitung der eingehenden Aufträge</li><br/><li>Kontrolle der Frachtrechnungen</li><br/><li>Abwicklung des täglichen Geschäfts</li><br/><li>Telefon/E-Mail Korrespondenz</li><br/><li>Reklamationsbearbeitung</li><br/><li>Ablage</li><br/></ul><br/><p> </p><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Abgeschlossene Ausbildung als Industriekaufmann (w/m/d) oder ähnliches</li><br/><li>Sicherer Umgang mit MS Office</li><br/><li>Fließende Deutschkenntnisse in Wort und Schrift</li><br/><li>Freundliche Umgangsformen mit einer hohen Teamfähigkeit</li><br/><li>Selbstständiger, strukturierter sowie sorgfältiger Arbeitsstil</li><br/></ul><br/><p><strong> </strong></p><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Sachbearbeiter Logistik (w/m/d) unter Angabe der <strong>Referenznummer</strong><strong> 60080-0010813621</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Herr Lukas Neu von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuMzA1NjMuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>","Junior"
"Sachbearbeiter Buchhaltung (w/m)","https://www.roberthalf.de/job/esslingen/sachbearbeiter-buchhaltung-wm/06790-0010811783-dede","Sachbearbeiter Buchhaltung (w/m) gesucht - Für unseren Kunden, ein produzierendes Unternehmen mit Sitz im Raum Kirchheim, suchen wir ab sofort einen Sachbearbeiter Buchhaltung (w/m). Das Unternehmen ist...","<div class=""rh-job-page__job-info-text""><p><strong>Sachbearbeiter Buchhaltung (w/m)</strong> <strong>gesucht</strong> - Für unseren Kunden, ein produzierendes Unternehmen mit Sitz im Raum Kirchheim, suchen wir ab sofort einen Sachbearbeiter Buchhaltung (w/m). Das Unternehmen ist einer der führenden Hersteller in seiner Branche und hat weltweit mehr als 20 Niederlassungen. Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei. </p><br/><p><strong>Ihre Aufgaben als</strong><strong> Sachbearbeiter Buchhaltung (w/m)</strong></p><br/><ul><br/><li>Kontierung und Verarbeitung von Zahlungseingängen </li><br/><li>Abwicklung des Forderungsmanagements inklusive Mahnwesen</li><br/><li>Überwachen der Einhaltung von Zahlungskonditionen </li><br/><li>Durchführung von Intercompany-Abstimmungen</li><br/><li>Mitarbeit an Monats- und Jahresabschlüssen nach HGB </li><br/><li>Kontakt zu Kunden sowie internen und externen Ansprechpartnern</li><br/></ul><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Abgeschlossene kaufmännische Ausbildung</li><br/><li>Mehrjährige Berufserfahrung im Rechnungswesen </li><br/><li>Sicherer und routinierter Umgang mit MS Office und ERP-Systemen</li><br/><li>Selbstständige und sorgfältige Arbeitsweise</li><br/></ul><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Sachbearbeiter Buchhaltung (w/m) unter Angabe der <strong>Referenznummer</strong><strong> 06790-0010811783</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Frau Alexandra Walter von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuODM3MzMuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>","Medior"
"Controller (w/m/d)","https://www.roberthalf.de/job/rhein-kreis-neuss/controller-wmd/06630-0010811556-dede","Controller (w/m/d) gesucht - Für unseren Kunden, ein Unternehmen aus der Verarbeitungsbranche in Neuss, suchen wir ab sofort einen Controller (w/m/d). Das Unternehmen bietet ein sympathisches Team, sowie...","<div class=""rh-job-page__job-info-text""><p><strong>Controller (w/m/d)</strong> <strong>gesucht</strong> - Für unseren Kunden, ein Unternehmen aus der Verarbeitungsbranche in Neuss, suchen wir ab sofort einen Controller (w/m/d). Das Unternehmen bietet ein sympathisches Team, sowie abwechslungsreiche Aufgaben mit einer aussichtsreichen Karriereperspektive. Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  <br/> </p><br/><p><strong>Ihre Aufgaben als</strong><strong> Controller (w/m/d)</strong></p><br/><ul><br/><li>Kostenabrechnung und Produktkalkulation</li><br/><li>Steuerung der Budgetplanung</li><br/><li>Verwaltung und Bewertung der Rückstellungen</li><br/><li>Reporting an die Konzernzentrale</li><br/><li>Management sämtlicher controllingrelevanter Angelegenheiten<br> </br></li><br/></ul><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Abgeschlossene kaufmännische Ausbildung</li><br/><li>Berufserfahrungen im Controlling</li><br/><li>Englischkenntnisse wünschenswert</li><br/></ul><br/><p> </p><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Controller (w/m/d) unter Angabe der <strong>Referenznummer</strong> <strong>06630-0010811556</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Frau Katharina Schneider von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuNzgwODMuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>","Senior"
"1st Level Support (w/m/d)","https://www.roberthalf.de/job/koln/1st-level-support-wmd/60030-0010811706-dede","1st Level Support (w/m/d) gesucht - Für unseren Kunden, ein namhaftes Unternehmen im Großraum Köln, suchen wir ab sofort einen engagierten 1st Level Support (w/m/d).Wenn du frisch deine...","<div class=""rh-job-page__job-info-text""><p><strong>1st Level Support (w/m/d)</strong> <strong>gesucht</strong> - Für unseren Kunden, ein namhaftes Unternehmen im Großraum Köln, suchen wir ab sofort einen engagierten 1st Level Support (w/m/d).</p><br/><p>Wenn du frisch deine Ausbildung/Umschulung im IT Bereich abgeschlossen hast und deine ersten Berufserfahrungen erweitern und vertiefen möchtest, dann freuen wir uns auf deine Bewerbung!</p><br/><p>Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhältst du einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für dich als Bewerber kostenfrei.  <br> </br></p><br/><p><strong>Deine Aufgaben als</strong><strong> 1st Level Support (w/m/d)</strong></p><br/><ul><br/><li>Telefonische Entgegennahme und Bearbeitung von technischen Störungen</li><br/><li>Bearbeitung von E-Mails und schriftlichen Störungsmeldungen</li><br/><li>Mitentwicklung von betrieblichen Vorgaben und Prozessen für Ihren Bereich bzw. Mitwirkung bei der Prozessgestaltung</li><br/><li>Intensiver Umgang mit den EDV-Systemen</li><br/><li>Dokumentation im Ticketsystem<br> </br></li><br/></ul><br/><p><strong>Dein Profil</strong></p><br/><ul><br/><li>Ausbildung/Umschulung, Weiterbildung oder Zertifizierung im IT Bereich oder du bringst Berufserfahrung aus dem IT Umfeld mit</li><br/><li>Quereinsteiger herzlich willkommen</li><br/><li>Hard- und Softwarekenntnisse im Windows Umfeld</li><br/></ul><br/><p> </p><br/><p><strong>Haben wir dein Interesse geweckt?</strong></p><br/><p>Dann bewirb dich online als 1st Level Support (w/m/d) unter Angabe der <strong>Referenznummer</strong><strong> 60030-0010811706</strong> - dein Lebenslauf genügt. Bei Fragen steht dir Frau Özge Turan von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuNTM1MzAuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>","Junior"
"Sachbearbeiter Kreditorenbuchhaltung (w/m/d)","https://www.roberthalf.de/job/dortmund/sachbearbeiter-kreditorenbuchhaltung-wmd/60050-0010809718-dede","Sachbearbeiter Kreditorenbuchhaltung (w/m/d) gesucht - Für unseren Kunden, ein Unternehmen mit Sitz in Dortmund, suchen wir ab sofort einen Kreditorenbuchhalter (w/m/d). Der Einstieg erfolgt im Rahmen...","<div class=""rh-job-page__job-info-text""><p><strong>Sachbearbeiter Kreditorenbuchhaltung (w/m/d)</strong> <strong>gesucht</strong> - Für unseren Kunden, ein Unternehmen mit Sitz in Dortmund, suchen wir ab sofort einen Kreditorenbuchhalter (w/m/d). Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.  <br/> </p><br/><p><strong>Ihre Aufgaben als</strong><strong> Sachbearbeiter Kreditorenbuchhaltung (w/m/d)</strong></p><br/><ul><br/><li>Operative Mitarbeit in der Buchhaltung</li><br/><li>Kreditorenbuchhalter</li><br/><li>Eingangsrechnungen buchen</li><br/><li>Factoring</li><br/><li>Rechnungen schreiben</li><br/><li>Stammdatenpflege</li><br/></ul><br/><p> </p><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Kaufmännische Ausbildung (w/m/d)</li><br/><li>Mehrjährige relevante Berufserfahrung im Finanz- und Rechnungswesen</li><br/><li>Kenntnisse in der Kreditorenbuchhaltung von Vorteil</li><br/><li>Selbstständige und sorgfältige Arbeitsweise</li><br/></ul><br/><p> </p><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Sachbearbeiter Kreditorenbuchhaltung (w/m/d) unter Angabe der <strong>Referenznummer</strong><strong> 60050-0010809718</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Frau Atak von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuNTkzODQuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>","Medior"
"Einkaufssachbearbeiter (w/m/d)","https://www.roberthalf.de/job/pforzheim/einkaufssachbearbeiter-wmd/06790-0010813671-dede","Einkaufssachbearbeiter (w/m/d) gesucht - Für unseren Kunden, ein mittelständisches Industrieunternehmen aus dem Großraum Pforzheim, suchen wir ab sofort einen erfahrenen Einkaufssachbearbeiter (w/m/d). Sie arbeiten in...","<div class=""rh-job-page__job-info-text""><p><strong>Einkaufssachbearbeiter (w/m/d) gesucht</strong> - Für unseren Kunden, ein mittelständisches Industrieunternehmen aus dem Großraum Pforzheim, suchen wir ab sofort einen erfahrenen Einkaufssachbearbeiter (w/m/d). Sie arbeiten in enger Zusammenarbeit mit den Einkäufern und unterstützen beim Einkauf von technischen Komponenten in Abstimmung mit den einzelnen Fachbereichen. Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei.</p><br/><p><strong>Ihre Aufgaben</strong><strong> als</strong> <strong>Einkaufssachbearbeiter (w/m/d)</strong></p><br/><ul><br/><li>Einkauf von Komponenten mit der technischen Fachabteilung</li><br/><li>Unterstützung bei Lieferantenverhandlungen</li><br/><li>Einholen und verfolgen von Angeboten</li><br/><li>Abwicklung von Bestellungen</li><br/><li>Erfassen und prüfen von den Eingangsrechnungen</li><br/><li>Überwachung und Koordination von Lieferterminen</li><br/></ul><br/><p><strong>Ihr Profil</strong></p><br/><ul><br/><li>Erfolgreich abgeschlossene Berufsausbildung im kaufmännischen Bereich</li><br/><li>Berufserfahrung in der Einkaufssachbearbeitung vorausgesetzt</li><br/><li>Technisches Verständnis und Lexware Kenntnisse gewünscht</li><br/><li>Fundierte MS Office Kenntnisse</li><br/><li>Kommunikative und ausdrucksstarke Persönlichkeit</li><br/></ul><br/><p><strong>Haben wir Ihr Interesse geweckt?</strong></p><br/><p>Dann bewerben Sie sich online als Einkaufssachbearbeiter (w/m/d) unter Angabe der <strong>Referenznummer</strong><strong> 06790-0010813671</strong> - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Frau Anne-Cathrin Müller von Robert Half gerne zur Verfügung.</p><img src=""https://counter.adcourier.com/cm96YWsuNDYzMTMuMTA3MTdAcmhpZGUuYXBsaXRyYWsuY29t.gif""/></div>","Medior"
